שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|סב}},סב
שולחן ערוך אורח חיים ד,כף החיים,שם: והיוצא מבית הכסא,{{פרשע1|כהח|סג}},סג
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|סד}},סד
שולחן ערוך אורח חיים ד,כף החיים,שם: והיוצא מבית הכסא,{{פרשע1|כהח|סה}},סה
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|סו}},סו
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|סז}},סז
שולחן ערוך אורח חיים ד,כף החיים,שם: והנוטל צפרניו,{{פרשע1|כהח|סח}},סח
שולחן ערוך אורח חיים ד,כף החיים,שם: והחולץ מנעליו,{{פרשע1|כהח|סט}},סט
שולחן ערוך אורח חיים ד,כף החיים,שם: והחולץ מנעליו,{{פרשע1|כהח|ע}},ע
שולחן ערוך אורח חיים ד,כף החיים,שם: והחולץ מנעליו,{{פרשע1|כהח|עא}},עא
שולחן ערוך אורח חיים ד,כף החיים,שם: והחולץ מנעליו,{{פרשע1|כהח|עב}},עב
שולחן ערוך אורח חיים ד,כף החיים,שם: והנוגע ברגליו,{{פרשע1|כהח|עג}},עג
שולחן ערוך אורח חיים ד,כף החיים,שם: והחופף ראשו,{{פרשע1|כהח|עד}},עד
שולחן ערוך אורח חיים ד,כף החיים,שם: והחופף ראשו,{{פרשע1|כהח|עה}},עה
שולחן ערוך אורח חיים ד,כף החיים,שם: ויש אומרים אף ההולך בין המתים,{{פרשע1|כהח|עו}},עו
שולחן ערוך אורח חיים ד,כף החיים,שם: ומי שנגע במת,{{פרשע1|כהח|עז}},עז
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|עח}},עח
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|עט}},עט
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|פ}},פ
שולחן ערוך אורח חיים ד,כף החיים,שם: ומי שנגע במת,{{פרשע1|כהח|פא}},פא
שולחן ערוך אורח חיים ד,כף החיים,שם: ומי שמפליא כליו,{{פרשע1|כהח|פב}},פב
שולחן ערוך אורח חיים ד,כף החיים,שם: ומי שמפליא כליו,{{פרשע1|כהח|פג}},פג
שולחן ערוך אורח חיים ד,כף החיים,והנוגע בכנה,{{פרשע1|כהח|פד}},פד
שולחן ערוך אורח חיים ד,כף החיים,שם: והנוגע בגופו בידו,{{פרשע1|כהח|פה}},פה
שולחן ערוך אורח חיים ד,כף החיים,שם: והנוגע בגופו בידו,{{פרשע1|כהח|פו}},פו
שולחן ערוך אורח חיים ד,כף החיים,שם: והנוגע בגופו בידו,{{פרשע1|כהח|פז}},פז
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|פח}},פח
שולחן ערוך אורח חיים ד,כף החיים,שם: ומי שעשה אחד מכל אלו,{{פרשע1|כהח|פט}},פט
שולחן ערוך אורח חיים ד,כף החיים,שם: ומי שעשה,{{פרשע1|כהח|צ}},צ
שולחן ערוך אורח חיים ד,כף החיים,סעיף יט: המקיז דם מהכתפיים,{{פרשע1|כהח|צא}},צא
שולחן ערוך אורח חיים ד,כף החיים,שם: המגלח ולא נטל,{{פרשע1|כהח|צב}},צב
שולחן ערוך אורח חיים ד,כף החיים,שם: המגלח ולא נטל,{{פרשע1|כהח|צג}},צג
